team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time_valid,percentage
-243684,Altitude Esports,176521,Tom R Dadswell,4695,107.108,139,105.7447716535433,127,202.71888382560718,13429.586,42.0
-243684,Altitude Esports,259215,Bryan Loynes,2947,107.5543,98,106.22522333333335,90,201.80199586620466,9560.270100000002,29.0
-243684,Altitude Esports,388214,Mark D Hutchinson,4040,107.8416,96,106.54145402298852,87,201.2030178917461,9269.106500000002,29.0
-305677,Delta Racing LMDh,529361,Higo Oliveira,3397,109.5388,113,107.8568202020202,99,198.74924960562197,10677.8252,34.0
-305677,Delta Racing LMDh,690115,Washington Pereira Carvalho,3143,108.9722,112,107.25728350515463,97,199.8601995077546,10403.956499999998,34.0
-305677,Delta Racing LMDh,394951,Joao Vitor Delgado,2435,108.9315,96,107.44117764705882,85,199.51812284130173,9132.5001,29.0
-132790,Reiter Engineering Esports,708185,Denis Robin Wolf,6618,107.1369,118,105.56509439252335,107,203.06392187073385,11295.465099999998,35.0
-132790,Reiter Engineering Esports,639407,Nico Schihwetz,3022,108.7205,95,106.59028588235294,85,201.1108414106338,9060.1743,29.0
-132790,Reiter Engineering Esports,607186,Dominique Renã© Englicht,3540,107.5014,94,106.04431904761906,84,202.14625613630457,8907.722800000001,28.0
-145316,Octopus Racing Team LMDH,380806,Rubén Palazón,3967,108.8053,99,106.91352584269664,89,200.50280739538763,9515.303800000002,30.0
-145316,Octopus Racing Team LMDH,701793,David Marchal,3923,112.9995,73,106.79035151515151,66,200.7340717195652,7048.1632,22.0
-145316,Octopus Racing Team LMDH,366068,Stephane Civeira Lareo,4163,105.4766,10,105.47665,8,203.23419524605686,843.8132,3.0
-233878,DLR x Sim-Lab \\ Orange,20477,Albert Priem,3340,113.7435,92,106.88409012345679,81,200.55802556993987,8657.6113,28.0
-233878,DLR x Sim-Lab \\ Orange,722146,Yannick Gerards,2870,108.0,50,106.67245869565217,46,200.95592003893435,4906.933099999999,15.0
